@relation train

@attribute eyeball_diff numeric
@attribute eyewhite_diff numeric
@attribute upper_diff numeric
@attribute noselip_bright numeric
@attribute noselip_loc numeric
@attribute lowerc_diff numeric
@attribute lowerx_diff numeric
@attribute lowery_diff numeric
@attribute lowerz_diff numeric
@attribute class {0,1}

@data
2,0,37,114,2,1,0.375,0.25,0.1875,0
1,0,35,115,3,1,0.0625,0.25,0.8125,0
4,1,198,115,0,3,1,0.6875,1.770833,0
7,7,616,116,4,35,0.75,12.5625,15.833333,0
60,5,768,121,1,8,7.3125,40.5625,52.083333,0
13,4,4465,95,0,125,46.8125,25.0625,62,0
0,71,1054,50,2,4,16.875,15.3125,42.208333,0
0,18,207,49,0,0,15.75,19.6875,60.708333,0
7,72,4559,57,1,25,18.9375,44.75,54.145833,0
69,63,2933,252,4,166,79.875,45.875,143.104167,0
7,48,1011,251,0,98,48.75,37.75,81.333333,0
5,39,547,128,0,74,6.1875,4.4375,13.375,0
6,9,531,116,0,67,29.1875,25.25,83.583333,0
1,5,282,110,0,119,31.9375,37.75,89.541667,0
9,1,328,118,0,3,0.25,2.25,6.333333,0
0,1,13,120,2,6,3.75,0.9375,6.708333,0
1,0,5,121,4,1,0,0.25,0.875,0
1,2,97,119,0,2,0.875,0.8125,2.75,0
2,3,178,119,0,1,1.0625,1,2.291667,0
2,3,125,115,1,1,1.4375,1.4375,2.666667,0
1,1,1,115,3,0,0.0625,1.125,0.583333,0
2,1,33,114,0,3,1.3125,0.625,1.75,0
2,2,158,114,1,1,0.25,0.75,0.166667,0
7,13,1172,254,2,0,8.25,19.4375,18.354167,0
61,4,3074,253,1,187,83.25,70.3125,149.770833,0
5,176,5301,73,0,9,19.625,31.6875,68.354167,0
0,124,947,132,4,4,8.125,3.3125,11.708333,0
0,45,771,181,0,1,5.6875,0.8125,1.208333,0
4,86,5266,55,1,91,40.3125,47.8125,76.270833,0
111,0,9934,251,1,176,76.9375,51.375,166.333333,0
52,59,7246,191,0,161,68.8125,61,170.520833,0
1,19,828,128,4,53,25.6875,16,39.0625,0
5,6,1895,253,4,32,13.875,17.6875,38.5625,0
1,133,3748,248,0,11,12.25,9.1875,26.854167,0
1,5,263,170,2,87,5.875,7.5,6.833333,0
10,2,162,200,3,47,5.875,9.4375,19.895833,0
1,1,14,127,0,48,23.5625,24.3125,63.875,0
0,1,92,123,0,69,10.5625,13.9375,25.020833,0
2,1,183,121,3,30,3.5,7.0625,12.708333,0
2,4,217,119,2,81,11.4375,12.25,33.895833,0
2,2,88,115,1,5,1.875,1.25,10.729167,0
0,3,185,113,4,10,3.3125,3.375,8.958333,0
1,1,119,112,0,7,1.5625,0.4375,2.520833,0
157,1,2489,254,2,17,0.9375,19.4375,21.25,0
104,1,11871,242,0,88,45.9375,37.5625,90.8125,0
2,191,4256,67,0,89,32.3125,0.3125,46.0625,0
2,111,1872,59,2,9,31.4375,2.8125,23.166667,0
1,70,1540,57,0,13,32.125,17.75,48.333333,0
1,119,7343,67,4,154,68.3125,48.3125,131.979167,0
100,1,8100,255,3,47,34.25,59,100.729167,0
81,41,8078,248,0,81,41.875,39.125,126.041667,0
3,91,2646,173,2,68,45.1875,50,84.770833,0
35,113,2865,127,4,47,9.25,17.0625,18.291667,0
12,42,77,158,4,31,15.25,16.8125,40.354167,0
25,72,2352,162,0,7,6.4375,16.25,37.833333,0
24,0,1265,199,4,39,28,5.25,9.875,0
0,22,2857,198,0,16,0.4375,5.5,24,0
25,30,2031,184,4,65,30.625,38.3125,94.270833,0
6,3,772,139,4,10,1.375,1.625,9.3125,0
1,28,1631,170,1,26,7.125,5.9375,12.0625,0
4,82,951,110,4,10,1.3125,0.75,4.041667,0
9,0,388,114,2,12,3.1875,2.1875,4.333333,0
2,3,282,102,0,20,6.1875,6.9375,15.6875,0
32,1,1377,237,3,6,19.375,23.875,49.895833,0
45,95,6858,161,0,53,10.25,14.8125,17.375,0
1,48,2452,60,0,45,37.625,23.3125,142.583333,0
2,50,1823,217,2,107,59.3125,45,173.875,0
2,128,3044,168,0,106,45.75,60.4375,130.041667,0
1,182,8669,170,4,87,34.8125,28.875,74.375,0
83,2,7711,192,0,23,24.75,11,34.5625,0
45,2,5419,255,2,124,25.875,5.5,22.083333,0
43,81,7733,189,0,58,3.1875,2.6875,16.229167,0
1,42,2041,177,4,5,3.4375,0,9.020833,0
4,55,2802,186,4,39,11.4375,1.125,29.5625,0
6,15,104,164,2,69,38.6875,28.4375,56.083333,0
36,36,3131,244,4,44,22.8125,23.5625,56.333333,0
4,34,397,221,0,50,27.6875,24.375,54.75,0
20,109,3542,215,0,71,35,28.4375,57.416667,0
0,30,200,97,2,39,23.8125,27.1875,66.979167,0
16,8,1067,100,4,18,6.0625,2.5,13.416667,0
6,2,35,104,4,9,1.875,2.3125,5.020833,0
4,7,483,110,0,10,0.6875,1.3125,1.3125,0
5,13,1037,100,0,19,8.375,6.75,19.375,0
62,18,3195,247,0,78,5.25,18.1875,26,0
49,42,5256,216,0,14,1.3125,4.8125,11.1875,0
1,19,564,215,0,84,34.75,31.6875,86.895833,0
13,14,5068,213,3,117,41.75,43.8125,109,0
18,62,8002,210,0,36,30.375,1.25,40.520833,0
38,16,5935,173,0,96,49.8125,49.375,108.3125,0
25,72,3046,176,4,16,9.75,0.25,43.541667,0
0,1,2528,137,0,18,15.5,5.375,23.9375,0
30,87,1421,138,4,23,17.75,16.5625,24.1875,0
4,8,137,159,0,62,25.3125,5.625,39.604167,0
2,8,67,135,0,7,0.5625,10.125,12.5,0
32,63,6172,191,4,3,8.75,4.4375,0.75,0
86,5,3133,250,3,74,32.6875,37.0625,84.5625,0
90,17,4264,245,3,43,14.5625,16.9375,36.520833,0
49,51,5654,223,0,11,2.8125,0.25,0.145833,0
4,85,3019,177,0,47,18.5,22.3125,45.4375,0
10,13,619,114,4,48,19.375,24.125,51.229167,0
0,3,355,113,4,16,8.625,7.8125,15.166667,0
7,2,283,116,4,5,2.1875,1.0625,1.520833,0
2,21,929,105,0,7,6.1875,4.375,14.979167,0
33,21,2632,246,0,40,9.9375,8.5625,9.229167,0
22,7,199,204,0,8,11.875,16.8125,30.020833,0
25,33,4552,233,0,33,12.375,8.875,17.875,0
52,41,6626,179,4,18,11.75,26.1875,34.5625,0
14,0,367,253,1,79,36.4375,37.0625,107.104167,0
28,77,6631,224,0,54,32.0625,29.1875,75.458333,0
16,33,558,120,0,41,19.9375,23.375,43.666667,0
3,113,2251,105,0,3,0.8125,1.0625,1.729167,0
33,64,3217,169,4,1,2.6875,6.1875,11.916667,0
2,25,1820,138,2,25,8,6,13.125,0
4,23,647,32,0,12,7.1875,7.5,16.8125,0
13,2,168,42,3,0,0.8125,0.625,2.541667,0
1,0,102,36,2,1,0.5,0.8125,1.645833,0
13,2,1236,218,0,12,5.5,7.3125,25.708333,0
7,6,426,176,0,20,15.3125,20.3125,53.833333,0
14,1,131,183,3,36,5.9375,7.5,23.791667,0
5,4,117,187,4,10,4.6875,7.0625,14.416667,0
23,4,404,159,0,50,17.8125,15.8125,36.583333,0
5,1,275,122,4,11,2.3125,1.8125,3.5,0
35,16,2648,143,0,11,7.125,9.875,14.416667,0
34,1,257,108,0,36,10.3125,12.8125,25.270833,0
8,19,389,130,4,4,3.5,4.3125,6.020833,0
6,3,1203,160,1,12,7.375,7.25,19.583333,0
1,1,72,34,1,2,0.25,0.125,0.958333,0
7,2,313,88,4,60,6.375,7.375,28.958333,0
9,5,148,116,3,30,6.9375,12.25,26.770833,0
4,5,405,116,0,21,5.75,6.0625,10.9375,0
5,1,430,143,1,3,2.5,5.25,9.958333,0
5,2,108,121,3,4,9.25,5.5,16.270833,0
1,11,835,176,1,24,9.0625,7.0625,18.520833,0
5,7,463,177,3,19,3.0625,2.5,6.666667,0
2,15,377,176,2,6,3.5,5.4375,8.895833,0
28,2,674,193,0,29,6.3125,3.75,15.0625,0
55,18,1765,131,4,6,5.5,4.4375,20.6875,0
3,2,136,32,0,0,0.375,0.375,0.479167,0
10,8,410,90,1,16,1.4375,1.3125,2.8125,0
8,8,679,90,1,22,1.4375,5.25,6.25,0
9,16,205,98,0,1,5.9375,8.125,20.916667,0
7,6,546,82,4,34,0.25,2.125,11.291667,0
21,9,916,85,0,4,0.3125,2,4.5625,0
20,39,1751,98,4,73,13.75,10,8.9375,0
2,11,467,170,2,5,1.5,6.375,13.604167,0
3,5,1014,169,3,15,3.5,4.5,11.895833,0
9,22,1163,123,0,32,16.5,18.4375,38.75,0
2,49,1346,107,0,21,10.875,7.875,16.5625,0
1,1,60,30,4,1,0.5,0.5625,1.083333,0
5,8,1611,79,3,7,0.625,2.0625,0.604167,0
5,58,2044,172,1,72,14.375,7.375,43.979167,0
11,1,701,100,4,21,9.625,11.5,20.791667,0
34,14,1914,106,2,5,12.5625,7.75,22.583333,0
8,3,244,98,2,21,7.375,3.5,11.083333,0
16,14,717,96,4,1,4.0625,2.4375,8.833333,0
14,15,994,95,0,4,8.9375,3.0625,11.395833,0
6,15,1430,92,0,21,7.9375,0.25,2.125,0
13,39,256,73,0,32,3.625,4.4375,11.6875,0
35,4,475,119,4,26,12.875,11.3125,29.1875,0
1,3,24,30,3,2,0.5,0.375,1.083333,0
20,13,1759,116,0,8,0.375,0.1875,0.479167,0
3,43,1015,113,4,6,1.625,2.8125,2.5,0
25,3,936,142,4,4,3,3.9375,12.020833,0
3,2,511,150,4,2,3.625,3.75,5.3125,0
2,6,261,154,0,4,0.75,3.5,2.3125,0
16,6,353,160,4,10,3.5,0.5625,2.229167,0
11,4,418,172,3,53,20.4375,15.0625,27.354167,0
31,51,4397,105,0,5,3.375,7.9375,18.979167,0
0,5,132,79,0,9,4.6875,10.8125,21.166667,0
3,69,1922,144,2,18,1.5625,4.125,1.145833,0
1,0,62,30,0,1,1.25,0.9375,2.333333,0
47,4,4968,148,0,37,21.4375,24.75,50.708333,0
12,22,1359,71,3,20,1.875,3.125,6.291667,0
57,5,1979,133,4,25,4.5625,2.5625,3.166667,0
3,23,51,53,4,9,0.875,0.1875,1.541667,0
6,14,227,45,4,22,10.0625,2.875,17.520833,0
2,3,645,43,1,2,3.625,5.5625,5.375,0
1,12,188,59,1,13,0.75,2.25,1.625,0
3,6,1327,117,4,8,1,0.125,4.916667,0
22,21,2356,99,0,6,8.625,17.5625,38.708333,0
15,13,332,89,4,7,15.9375,13.6875,37.9375,0
0,48,1428,45,4,43,17.75,20.125,38.541667,0
8,22,1219,137,3,18,12.625,15.375,32.166667,0
9,3,836,151,4,19,6.8125,6.9375,15.041667,0
29,12,1132,167,2,0,3.125,3,6.5625,0
8,7,429,173,4,44,14.125,15.5,24.583333,0
35,9,3617,125,0,8,2.375,7.5625,15.916667,0
0,33,416,87,0,12,2.5625,0.125,0.8125,0
3,43,69,117,3,72,24.8125,18.0625,35.75,0
41,1,1912,162,3,99,40.8125,28.6875,65.791667,0
18,73,4046,47,0,4,2.8125,3.1875,8.229167,0
3,3,113,52,2,17,8.625,2.3125,14.520833,0
4,3,1372,80,0,9,7.4375,10.875,30.458333,0
14,14,1163,71,0,15,0.25,6,5.020833,0
2,1,431,140,2,31,12.4375,5.5625,26.3125,0
3,11,44,79,0,21,3,2.25,7.520833,0
0,20,88,80,0,36,7.25,3.1875,2.791667,0
5,29,1882,100,3,1,4.125,5.5625,15.5625,0
11,3,15,126,1,22,5.1875,5.9375,16.25,0
15,1,568,88,0,14,2.5625,0.75,4.354167,0
0,13,1388,159,3,57,18.0625,22.3125,46.979167,0
25,9,1045,130,0,18,9.125,6.6875,12.8125,0
4,9,1647,156,4,7,8.75,5.9375,14.916667,0
3,14,587,51,4,9,3.8125,1.25,0.25,0
8,5,1002,167,3,6,2.9375,3.75,10.229167,0
21,9,649,171,4,49,18.375,15.4375,25.416667,0
12,45,3753,98,0,21,5.1875,3.3125,8.333333,0
5,10,115,89,4,3,0.5,1.875,2.291667,0
8,48,1108,107,2,33,23.8125,26.6875,61.916667,0
37,14,809,171,3,14,5.9375,1.5,14.833333,0
12,103,4918,55,0,17,6.5,15.125,19.208333,0
4,1,203,52,4,3,5.0625,7.5,12.395833,0
1,0,112,80,0,14,5,0.125,4.770833,0
5,54,674,52,4,52,15.4375,13.625,29.4375,0
2,12,1092,110,2,13,4.9375,5.125,7.395833,0
13,31,848,144,1,14,7.5,3.75,19.083333,0
2,17,1541,112,3,13,4.5625,5.75,10.375,0
4,27,1225,141,2,14,3.5,2.4375,4.583333,0
5,6,212,149,0,2,4.875,0.4375,6.5625,0
5,5,145,145,0,5,1.375,1.75,0.520833,0
21,3,1475,152,0,10,1.3125,0.8125,0.083333,0
33,18,1457,165,4,0,3.1875,1.1875,4.875,0
16,7,615,177,4,4,3.1875,2.75,7.0625,0
5,6,357,163,4,23,6.25,7.3125,16.6875,0
29,7,1774,132,2,40,19.375,17.625,31.625,0
0,0,15,45,3,8,5.4375,4.8125,14.979167,0
0,0,0,0,0,0,0,0,0,0
7,14,1592,87,0,33,4.6875,4.8125,4.375,0
12,5,296,85,0,21,3.625,5.4375,11.5,0
4,6,96,97,4,21,12.625,13.3125,30.375,0
35,21,2300,165,3,28,0.8125,3.75,8.0625,0
90,5,3180,172,1,97,34.5,23.25,50.291667,0
4,21,691,39,2,17,5.8125,12.6875,20.666667,0
6,0,869,62,3,27,13,17.0625,43.3125,0
6,56,2561,81,4,0,2.625,2.5,8.0625,0
15,5,2308,147,4,30,11.75,17.625,35.791667,0
15,17,1065,134,2,2,4.9375,3.1875,0.0625,0
0,0,0,0,0,0,0,0.0625,0.020833,0
10,3,335,149,0,1,0.25,1.25,2.958333,0
5,9,398,146,1,3,0.8125,0.9375,0.333333,0
1,10,383,158,4,1,1.1875,2.5,3.166667,0
3,5,231,168,4,7,4.3125,1.75,5.291667,0
2,5,123,173,0,6,3.25,1.3125,5.041667,0
2,1,223,169,4,8,4.4375,3.625,0.145833,0
26,0,845,149,0,23,10.8125,19.625,33.6875,0
23,2,2255,111,0,27,13,16.625,43.291667,0
9,32,493,73,4,21,7.9375,1.9375,6.3125,0
3,8,278,100,0,23,11.25,0.1875,13.854167,0
0,7,169,0,0,0,0,0,0,0
11,13,81,102,3,4,8.5,8.875,11,0
20,22,2594,142,4,32,1.625,7.75,7.854167,0
12,5,627,153,0,10,4.1875,10.75,17.145833,0
4,101,4681,51,0,36,9.8125,12.125,17.791667,0
0,3,231,48,3,29,0.25,7.3125,4.020833,0
4,18,861,102,0,4,1.125,2.25,6.083333,0
14,23,64,81,0,7,5.1875,7.8125,22.333333,0
25,13,2947,104,4,55,28.625,15.5625,50.416667,0
0,1,1002,0,0,0,0,0,0,0
3,3,1275,30,4,0,0.3125,0.0625,0.229167,0
1,1,34,59,3,8,7.875,11.25,23.9375,0
0,1,100,59,1,0,10.1875,5.9375,16.666667,0
1,1,76,58,4,0,0.25,0.1875,0.416667,0
2,0,67,57,0,1,0.4375,0.4375,0.5,0
1,2,55,56,0,0,0.75,3.375,6.229167,0
0,0,33,45,0,2,3.5625,3,11.1875,0
0,1,22,91,1,16,6.4375,6.1875,14.770833,0
0,16,511,65,4,7,1.375,1.0625,3.708333,0
2,10,406,72,4,9,5.625,5.25,7.916667,0
3,16,593,66,0,12,6.5625,4.5,12.520833,0
1,8,653,71,2,15,7.0625,10.4375,17.958333,0
13,63,4859,168,4,45,22.875,18.9375,43,0
22,37,2238,155,0,31,14.75,16.625,36.6875,0
13,12,413,135,0,40,18.375,11.6875,24.479167,0
1,1,58,150,3,7,3.875,3.75,9.5,0
0,0,0,0,0,0,0,0.25,3.1875,0
0,2,32,44,0,2,0.4375,0.125,1.0625,0
0,1,1,0,0,6,0.0625,4.375,11.833333,0
0,0,0,0,0,2,0.875,0,0.8125,0
0,1,1,1,0,0,0,1.3125,2.229167,0
0,0,16,1,4,1,2.5625,0.5,3.25,0
0,17,115,22,4,71,34.375,26.0625,57.291667,0
1,13,1006,24,0,17,11.625,9.75,31.020833,0
0,3,1754,13,0,16,6.625,4.3125,4.479167,0
51,13,484,79,2,27,9.9375,12.5,25.791667,0
1,6,1813,146,4,1,5.5625,11.0625,22.875,0
28,1,910,157,2,4,1.25,6.5,10.229167,0
1,1,16,43,0,0,0,0.1875,0.020833,0
14,2,1705,144,3,1,0.8125,1.75,1.291667,0
18,21,2006,126,4,22,10.8125,9.0625,29.458333,0
7,9,1726,142,2,14,5.25,3.25,18.4375,0
10,39,1813,146,4,38,18.125,14.3125,32.75,0
41,8,1182,195,4,28,11.6875,11.625,24.854167,0
23,11,1309,192,2,30,15.9375,13.125,28.083333,0
7,17,835,155,3,6,3.625,2.625,6.541667,0
12,3,394,156,3,5,1.5,2.375,7.020833,0
0,2,1284,126,0,1,0.875,0.375,2.958333,0
16,6,237,130,0,14,3.9375,3.625,10.041667,0
1,0,25,43,1,0,0.125,0.375,0.291667,0
0,7,1190,121,3,3,0.0625,2.3125,4.729167,0
0,10,642,135,0,2,0.25,1.8125,0.333333,0
5,13,1674,137,1,1,0.875,0.0625,1.9375,0
86,3,3577,158,4,13,3.4375,3,8.854167,0
12,13,622,177,4,1,2.25,4.375,8.041667,0
5,10,700,177,1,13,4.6875,4.1875,10.3125,0
27,13,1038,170,4,4,3.9375,3.9375,9.25,0
28,7,169,181,0,7,3.1875,1.0625,1.4375,0
5,8,612,172,0,2,0.875,2.0625,5.5625,0
3,0,210,182,0,1,1,0.5625,1.145833,0
1,1,81,42,0,3,0.3125,0.5625,1.625,0
2,4,178,182,2,3,0.75,0.5625,0.458333,0
2,5,584,193,3,11,6,5.375,12.770833,0
12,1,288,194,0,22,7.4375,7.25,14.729167,0
13,4,250,178,0,5,4.875,5.1875,10.9375,0
11,37,1742,158,0,3,2.0625,1.8125,4.8125,0
1,4,30,150,0,8,3.875,3.5,7.645833,0
10,5,411,132,0,2,0.6875,0.625,1.166667,0
2,4,121,151,0,4,1.125,1.625,3.354167,0
1,4,286,162,2,4,2.25,2.4375,5.479167,0
4,3,368,168,3,4,2.375,1.6875,5.645833,0
1,0,125,40,0,3,0.6875,0.6875,1.916667,0
3,2,0,163,0,2,0.3125,0.6875,0.770833,0
1,0,132,163,2,3,0.625,0.75,1.666667,0
0,1,29,165,4,6,3.6875,2.6875,6.354167,0
2,2,176,169,0,3,0.6875,1.1875,0.1875,0
2,2,195,174,4,8,1.9375,3,4.375,0
2,3,207,177,0,5,3.3125,2.625,7.625,0
0,2,145,176,0,9,1.4375,0.125,0.375,0
4,3,167,180,0,8,0.125,2.75,9.104167,0
1,3,122,189,3,3,5.1875,6.25,16.4375,0
5,3,396,207,3,9,7.875,6.125,8.791667,0
2,0,78,39,2,0,0.6875,0.5625,1.354167,0
14,11,1161,210,4,32,4.8125,4.25,7.3125,0
9,3,595,210,0,37,5.8125,2.375,7.3125,0
12,18,1355,212,4,16,2.9375,1.875,2.9375,0
24,19,1197,193,0,40,11.125,10.0625,12.583333,0
1,6,79,133,3,15,3.625,5.5625,14.625,0
14,2,463,126,0,16,12.5,8.375,22.6875,0
5,5,272,171,0,17,9.5,8.1875,20.208333,0
23,5,570,167,4,28,4,2.125,3.270833,0
23,17,598,199,2,8,6.4375,12.6875,26.979167,0
5,2,412,217,4,15,3.875,0.75,0.166667,0
4,6,431,58,0,14,8.9375,10.625,28.6875,0
0,3,2,6,1,0,0.0625,0.0625,0.645833,0
9,12,21,112,3,12,16.1875,3.1875,38.708333,0
53,41,1824,134,4,84,21.625,19.6875,41,0
8,10,650,157,1,9,0.1875,3.9375,4.583333,0
13,32,575,124,3,39,13.5,0.25,5.416667,0
81,4,2580,235,1,68,16.8125,15.5625,36.645833,0
3,1,294,219,1,25,5.3125,14.625,51.666667,0
115,4,2356,221,2,30,12.125,10.1875,9.375,0
5,1,17,230,1,10,5.25,18.5625,39.375,0
4,6,175,87,3,19,1.8125,10.0625,0.0625,0
30,5,3265,114,3,33,9,13.6875,30,0
25,15,3779,175,4,3,4,9.8125,16.9375,0
20,6,1615,85,4,3,9.875,1.1875,4.541667,0
40,10,1951,181,4,14,5.125,5.75,8.729167,0
3,5,421,175,1,7,10.875,18.375,39.020833,0
7,29,78,84,1,22,8.75,0.4375,14.416667,0
26,33,2171,134,4,13,1.875,2.875,1.625,0
0,2,1936,108,3,56,24.0625,24.3125,60.3125,0
1,45,393,7,3,3,3.125,7.875,10.458333,0
3,28,29,99,2,28,15.125,13.4375,59.166667,0
4,52,211,105,0,28,28.1875,20.625,51.833333,0
15,34,1404,179,4,15,2.75,2.625,9.770833,0
20,32,400,83,0,84,11.875,11.25,21.479167,0
26,12,1383,172,3,40,9.6875,6.125,7.9375,0
38,29,2982,151,0,42,19.3125,18.6875,79.3125,0
1,7,762,145,4,20,5.8125,11.3125,42.708333,0
3,2,687,85,4,35,1.5,6.0625,8.833333,0
2,12,2166,120,0,2,12.8125,11.5625,38.229167,0
31,24,3449,83,0,46,8,4.8125,9.458333,0
2,78,1259,25,1,8,6.1875,5,5.666667,0
5,11,580,79,3,56,20.5,16.625,43.083333,0
0,4,1140,61,4,1,10.375,7.3125,21.541667,0
0,19,95,16,3,27,0.1875,3.625,10.958333,0
0,0,0,0,0,24,4.5,3.1875,10.354167,0
43,20,5179,156,2,41,3.75,17,30.125,0
5,8,2374,90,2,48,24.75,16.5625,38.3125,0
10,20,352,147,3,9,4.875,12.875,21.666667,0
1,59,488,26,4,11,0.25,3.75,1.4375,0
2,22,460,18,0,41,12.125,19.9375,42.854167,0
6,15,1232,97,0,105,39.5625,34.125,92.4375,0
12,84,2358,93,2,1,5.875,2.9375,1.020833,0
0,14,862,174,4,46,49.125,43.1875,114.041667,0
11,39,3664,161,3,42,17.8125,12.125,29.854167,0
0,9,98,124,4,1,7.75,14.875,2.979167,0
1,42,3073,13,4,23,9.25,0.6875,3.083333,0
2,21,731,80,1,38,17.9375,5.4375,6.5,0
15,47,545,147,1,38,12.0625,10.8125,40.291667,0
20,0,328,77,4,17,1.9375,8,20.5,0
30,45,3444,111,3,28,14.25,14.125,37.4375,0
15,1,194,173,4,1,14.8125,2,39.375,0
13,7,166,209,1,26,2.125,3.0625,18.125,0
39,11,2220,204,0,7,12,6.5,21.833333,0
1,4,201,162,1,86,16,5.9375,27.5625,0
5,33,425,111,0,13,9.625,8.75,34.8125,0
2,27,1361,123,4,3,9.625,11.125,31.229167,0
2,73,3204,126,0,35,1.75,2.5625,9.6875,0
20,4,1612,156,4,18,3.375,4.25,12.666667,0
6,2,851,145,0,22,2.4375,12,15.541667,0
10,41,2780,29,4,17,18,14.0625,59.854167,0
22,11,2311,85,1,8,11.8125,19.875,34.333333,0
0,17,2965,93,0,25,14.125,4.4375,19.270833,0
0,8,660,138,0,1,0.75,5.75,20.958333,0
24,30,2032,105,4,59,5.5,7.5,27.0625,0
22,5,438,182,2,12,3,19.25,39,0
12,65,2659,100,1,41,0.9375,10.0625,3.708333,0
0,24,1020,0,0,87,17.25,32,62.270833,0
18,27,4613,98,4,98,30.875,37.75,99.1875,0
7,26,2078,142,4,3,5,17.8125,39.5,0
17,25,93,118,4,4,6.75,3.0625,3.75,0
21,3,1334,192,4,26,15.75,11.1875,29.145833,0
83,14,2480,176,4,47,15.6875,13.8125,36.083333,0
22,9,360,197,2,10,3.125,1.25,1,0
27,11,870,182,0,6,2.125,0.3125,9.958333,0
6,3,356,196,4,12,3.5,0.9375,4.333333,0
8,9,280,175,0,3,7.5625,12.3125,36.354167,0
5,14,443,174,1,6,6.1875,8.5625,29.625,0
10,1,448,171,4,10,7.6875,0.8125,7.708333,0
50,4,1131,182,0,58,1.25,0.75,11.458333,0
7,21,2325,141,4,43,3.25,4.5625,5.5,0
20,2,1268,141,2,33,4,6.5,5.833333,0
24,29,1918,87,4,4,0.375,5.75,5.520833,0
4,14,322,23,0,14,1.0625,1.3125,11.6875,0
1,16,381,36,4,21,4.625,15.25,35.979167,0
9,21,530,45,0,2,2.8125,6.5,16.166667,0
12,41,250,55,1,17,10.9375,3.875,31.583333,0
14,14,1478,57,0,0,0.75,0.3125,8.395833,0
37,22,1317,69,3,4,0.25,3.0625,4.791667,0
12,4,914,126,1,103,42.9375,31.25,81.6875,0
36,28,1674,158,3,18,26.5625,14.8125,51.416667,0
10,30,775,113,0,64,28.25,25.625,67.145833,0
26,42,3745,205,3,13,14.75,21.25,50.020833,0
25,1,1364,215,3,16,4.25,13.6875,24.770833,0
3,0,38,226,0,1,1.5,0.8125,0.416667,0
6,1,215,218,0,8,0.3125,4.5,5.6875,0
8,16,897,213,4,16,4.75,0.0625,4.270833,0
5,0,582,187,0,12,11.4375,8.125,26.479167,0
11,9,553,178,3,17,4.5,8.5,1.645833,0
6,3,301,180,1,14,5.5625,0.25,2.854167,0
53,10,2045,198,2,12,3.75,9.25,19.104167,0
1,6,866,163,2,5,6.5625,9.625,10.083333,0
5,20,822,78,2,36,7.0625,1.4375,11.333333,0
11,30,880,100,0,36,0.3125,9.4375,5.645833,0
0,32,796,76,2,62,15.4375,18.375,49.708333,0
5,10,1010,52,2,21,0.1875,4.5625,14.125,0
0,9,115,35,0,16,0.6875,4.25,6.479167,0
0,2,147,116,1,57,1.9375,8.8125,17.916667,0
0,22,328,83,1,18,2.625,1.625,0.020833,0
0,36,935,78,4,4,6.4375,4.25,13.354167,0
56,28,4065,134,4,18,2.4375,5.5,8.5625,0
2,29,2133,173,2,11,6.5,7.6875,35.333333,0
18,15,1204,197,2,24,0.3125,2.1875,15.625,0
0,1,62,9,3,5,1.0625,2.75,2.916667,0
0,2,6,1,3,0,0.0625,0.125,2,0
28,7,1893,224,3,3,6.125,1,7.270833,0
15,1,283,227,0,7,4.75,4.75,13.791667,0
13,5,23,222,3,16,1.1875,4.4375,1.604167,0
10,8,511,191,3,32,2.5,2,7.833333,0
6,9,194,188,3,7,0.25,5.8125,7.875,0
27,11,554,194,3,16,1.875,2.25,7.25,0
5,5,683,193,0,25,3.8125,8.25,22.6875,0
18,9,962,173,4,29,15.375,6.9375,38.291667,0
27,16,1206,156,4,38,9.875,9.1875,31.75,0
27,17,2070,100,0,25,4.5,9.75,8.354167,0
0,7,269,5,4,5,2.875,2.25,6.979167,0
0,33,385,8,0,15,2.6875,6.3125,3.416667,0
2,5,323,68,3,19,0.8125,4.3125,16.333333,0
12,11,1185,69,4,3,4.3125,4.8125,2.458333,0
2,1,48,153,3,100,19.9375,7.25,16.083333,0
6,19,757,102,4,122,10.125,4.8125,2.083333,0
7,0,744,112,0,9,2.625,7,12.8125,0
17,28,1852,144,4,21,5.875,12.625,0.583333,0
25,21,1045,165,4,20,11.0625,10.8125,29.895833,0
17,1,100,170,2,48,13.875,12.125,5.770833,0
48,20,1072,226,2,111,3.875,7.875,1.8125,0
7,15,743,21,4,10,5.125,5.6875,10.875,0
23,1,99,226,0,175,65.1875,60.1875,139.520833,0
18,3,763,227,1,31,7.0625,4.4375,60.8125,0
0,7,309,200,4,16,19.75,0.375,46.895833,0
122,18,9451,176,2,2,22.75,4.6875,70.604167,0
20,6,70,173,0,91,33.4375,29.875,94.833333,0
65,17,2246,182,4,13,7.5625,1.1875,15,0
5,20,2129,199,0,25,11.5625,7.9375,53.5625,0
3,24,1722,174,2,14,4.1875,4.875,13.291667,0
16,28,2391,55,4,3,7.5,4.0625,8.854167,0
11,29,1169,101,4,43,0.8125,1.6875,7.6875,0
9,6,501,134,0,13,9.75,2.9375,13.916667,0
35,24,1758,164,4,4,7.9375,10.0625,14.604167,0
67,25,170,165,2,24,16.5625,3.625,8.75,0
25,0,751,180,1,2,10.4375,1.375,3.875,0
7,18,345,212,4,0,12.3125,0.875,13.25,0
0,0,106,39,0,16,9,3.3125,18.5,0
12,2,679,222,0,22,15.0625,2.3125,23.354167,0
18,9,242,220,4,50,14.375,8.375,19.791667,0
44,15,1518,195,1,54,14.875,10.8125,7.3125,0
